comment,labels
Learn 20+ AI Tools and supercharge your productivity,"[2, 3, 2, 2, 2, 2, 2, 2]"
The private school mafia needs a full expos Youre the only one bold enough to do it,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv is on a mission to change todays generation Salute to him,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Someone is still doing quality journalism We need more people like you in the industry my dude,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Dhruv sir this is an eye opener Pls keep bringing more videos on this topic,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
He is the person who is raising the real issue of india Hats off to you man,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Thank you for revealing that even individuals like mafias live freely while the poor continue to suffer in this unsafe country,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Very much needed Please make a video on climate change and conservation since its a need of the hour,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
You are really taking up topics that truly matter the most in this country alongwith suggesting actual solutions,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
We want a video on the private school mafia Its high time you step in and spread awareness Great job Dhruv,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Next topic : Indian Private school mafia Aapse niwedan hai ispe jaroor ek video bnaye,"[2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]"
Is tarah ki vedio banane ke liye bahut sukhriya no one is taking about this topic it may be the big concerns for indian,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Eye opening topic,"[2, 2, 2]"
Thank you again for this much needed topic dear brother This made me realize how ignorant I was and that I could actually help them in some way as a citizen Protecting our own families working efficiently and paying taxes are not enough to improve our country You are my inspiration,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
सुरेश माँझी की कहानी सुनकर दिल ही दहल गया कि मेरे कानपुर में इतने बुरे और कुकर्मी लोग रहते हैं,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Coaching And Private schools mafia needs some exposure,"[2, 2, 2, 2, 2, 2, 2, 2]"
It reminds me of a south indian movie showcasing the similar case The fact that its clearly existing so freely without the fear of anything,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
