Who is listening in November 2024,"[2, 2, 2, 2, 2, 2]"
vmc,[2]
KK was the perfect singer There was no match of his voice,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Great programme Hope this helps us understand this socioeconomic complexity,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Voice of KK is just,"[2, 2, 2, 2, 2]"
one heart for MLA,"[2, 2, 2, 2]"
Thanks,[2]
let me join then i will tell,"[2, 2, 2, 2, 2, 2, 2]"
Next level AI Dhruv bhai Im eagerly waiting for such upcoming AI content,"[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
Indian Private School mafia pe ek video chahiye bhai,"[2, 2, 2, 2, 1, 1, 2, 1, 1]"
Literally listening at 3 am luvv ittt,"[2, 2, 2, 2, 2, 2, 2]"
Nice song,"[2, 2]"
You dont just point out the problem but also explain the solutions thats the best part of your videos,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Heart stop working when listening,"[2, 2, 2, 2, 2]"
India needs this type of content,"[2, 2, 2, 2, 2, 2]"
beautiful song,"[2, 2]"
My favourite singer I miss you,"[2, 2, 2, 2, 2, 2]"
Excellent work bro Watching from Fiji,"[2, 2, 2, 2, 2, 2]"
@heylyrics,[2]
The best YouTube I always watched your video And i am also waiting for your videos,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
I love sad songs,"[2, 2, 2, 2]"
jo brother sister K K ka voice pasand karte hai o like kare all songs is best,"[1, 2, 2, 3, 3, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2]"
Hats off to you for such great videos,"[2, 2, 2, 2, 2, 2, 2, 2]"
Aaj ki duniya mei hame clarity chahiye 1 like for dhruv bhai,"[1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1]"
beete lamhein,"[1, 1]"
I miss you KK,"[2, 2, 2, 2]"
realllyyyy sorrryyy,"[2, 2]"
labon ko its my favourite,"[1, 1, 2, 2, 2]"
hamara piara syr ki la gybab a shb song,"[1, 1, 2, 1, 3, 3, 3, 3, 2]"
Yes this is true incident from kanpur You are highlighting real issues in India Well done,"[2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Bhai dhru Rathi itni laajawab vedeos kese banate ho you are brilliant minded salute my dear se,"[1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3]"
Love from Maharashtra,"[2, 2, 1]"
Only he is the man who thinks all about the world Salute bro 100 times we are with u,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
lol yeah me too,"[2, 2, 2, 2]"
Aise news dikhana media ka hota h but media ka kam aaj youtubers aur dhruve bhai kr rahe h thanks dhruve bhai,"[1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1]"
Who is listening in November 2024,"[2, 2, 2, 2, 2, 2]"
Our country needs more people like you dhruv bhaiya,"[2, 2, 2, 2, 2, 2, 2, 2, 1]"
hey,[2]
Need of an hour Sir keep making us aware about these issues,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
thats good too,"[2, 2, 2]"
I am feeling really sad for the people who went through this,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Beautiful Song,"[2, 2]"
Its me I really love the song of KK so beautiful,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
You spoke the TRUTH Well done,"[2, 2, 2, 2, 2, 2]"
saanso ko,"[1, 1]"
Excellent mind you dhruv ji,"[2, 2, 2, 2, 1]"
By not giving any money to beggars no matter how needy they look youre actually doing them a favor If you really want to do something for these beggars give them something to eat instead of money,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Child Begging Needs to Stop They Need Education,"[2, 2, 2, 2, 2, 2, 2, 2]"
प्यार कभी मांगने से नहीं मिलता ये तो वो खुशबू है जो खुदबखुद दिल में बस जाती है।,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Love from Uttrakhand,"[2, 2, 1]"
2 October from midnapore,"[2, 2, 2, 3]"
I was noticed this problem for a long time but I didnt get aby information about it You raised the issue its really a big problem Thanks dhruv sir,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
not really just krishna dhruv adweta,"[2, 2, 2, 2, 2, 2]"
but what happened,"[2, 2, 2]"
Really you choose very unique topics Appreciation,"[2, 2, 2, 2, 2, 2, 2]"
Dhruv Bhai Aapke jaise brilliant logo ki bhut jarurat hai Indian politics me tabhi Hamare Desh ka Kuch bhala ho skta hai wrna aaye din bd se aur bttar hota hi ja rh h,"[2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
KK forever,"[2, 2]"
