Anna na G K M COLONEY DAN ANNA,"[1, 1, 3, 3, 3, 2, 1, 1]"
அண்டா துக்கும் பெண்களை பார்க்கும் போது பரிதாமாக இருக்கிறது இந்த பணத்தை இவர்களுக்கே கொடுத்து வாழ்வாதாரத்தை மேம்படுத்தி இருக்கலாம்,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
I love this music,"[2, 2, 2, 2]"
Didnt understand a single word but anyway loved it The beats,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Ella yaru veetu kaasu makkalooda kaasu,"[1, 1, 1, 1, 1, 1]"
Didnt got even a single meaning of the song but just watched repeatedly awesome Dance,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
My all time favourite movie and song no one can beat this song,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Seriously neenga sight adipingala Riyas,"[2, 1, 2, 1, 2]"
Fire,[2]
Iam From Bodoland Love this Tamil song even dont understand,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Yaroda money yo thana avaga kasta pattu sambathichi irudha ipdib ellam seiya mattaga,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Source of income enna,"[2, 2, 2, 1]"
Income tax avana vachu senjirunga,"[2, 2, 1, 1, 1]"
Bro neenga 3 perum twins ahh,"[2, 1, 2, 1, 2, 2]"
CBI engapa irukuriga,"[2, 1, 1]"
பணம் மனிதனை என்னவெல்லாம் செய்ய சொல்கிறது சிவம்,"[0, 0, 0, 0, 0, 0]"
December 4,"[2, 2]"
இருப்பவர் இப்படி கொடுக்க இல்லாதவர்கள் எப்படி கொடுக்க முடியும்,"[0, 0, 0, 0, 0, 0, 0]"
I love master,"[2, 2, 2]"
Its my favorite bro because vijay is my favorite hero,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
Anyone 2025 mar,"[2, 2, 2]"
Ennadhu vivasayi ahhcomedy pannadhingada,"[1, 1, 2, 1]"
கொள்ளைக்காரன் கைகளில் நிறைய இருக்கும்,"[0, 0, 0, 0]"
It hit 537M,"[2, 2, 2]"
